id,addr
2,"400 Northumberland Avenue, Redwood Oaks, Redwood City"
3,"18300 Sutter Boulevard, Morgan Hill"
5,"3200 Huntsman Drive, Rosemont Park, Sacramento"
6,"100 Carlsbad Circle, Vacaville"
7,"Unnamed Road, Vacaville"
8,"700 Carlsbad Court, Petaluma"
9,"500 Hyde Street, Tenderloin, San Francisco"
10,"3200 Nightingale Drive, Modesto"
11,"0 Mesa Vista Court, San Ramon"
12,"Gate 1 Entrance Road, Calistoga"
13,"1400 Eureka Road, Lead Hill, Roseville"
14,"900 Crestview Street, Salinas"
16,"600 9th Street, Pacific Grove"
17,"200 Vía Gayuba, Monterey"
20,"900 Sutter Street, Lower Nob Hill, San Francisco"
21,"3400 Pierce Street, Marina District, San Francisco"
23,"300 East Bell Avenue, Fairfield"
24,"400 Cinnamon Way, Suisun City"
25,"400 Bowline Drive, Vacaville"
26,"Cornell Street, Sonoma"
27,"Entrada, Santa Rosa"
28,"9300 Lakewood Drive, Windsor"
30,"2200 Central Avenue, Alameda"
31,"5900 San Diego Street, El Cerrito"
36,"1900 Carnation Way, Manteca"
37,"1800 Newcastle Drive, South Los Altos, Los Altos"
38,"Unnamed Road, Mount Hamilton"
39,"Maxwell Al, Vallejo"
40,"1800 Blossom Avenue, Fairfield"
41,"1700 Felicia Lane, Concord"
42,"7400 Northland Avenue, San Ramon"
43,"1600 Folsom Avenue, San Pablo"
44,"1700 Egbert Avenue, Bayview, San Francisco"
46,"500 Chester Street, West Oakland, Oakland"
47,"9700 Birch Street, Cox, Oakland"
48,"2800 E Street, Central Sacramento, Sacramento"
52,"2800 Gay Avenue, East San Jose, San Jose"
55,"6100 Plymouth Avenue, Richmond"
56,"Wildcat Marsh Trail, Richmond"
57,"1700 Bayo Vista Avenue, San Pablo"
58,"5600 Genoa Street, Santa Fe, Oakland"
59,"4900 Antioch Street, Union City"
60,"33900 Emilia Lane, Ardenwood, Fremont"
61,"5400 Ridgewood Drive, Ardenwood, Fremont"
62,"3500 Ellery Common, Central District, Fremont"
63,"39300 Wilford Street, Sundale, Fremont"
64,"5200 Selma Avenue, Centerville, Fremont"
65,"42600 Everglades Park Drive, Blacow, Fremont"
66,"4100 Piedmont Terrace, Vineyards - Avalon, Fremont"
69,"1100 Prospect Street, Seaside"
73,"2100 Fieldcrest Avenue, Fairfield"
74,"300 West Humboldt Street, Central San Jose, San Jose"
75,"0 Napa Road, Sonoma"
76,"700 Lakeville Circle, Petaluma"
77,"2000 Harmil Way, Central San Jose, San Jose"
78,"1400 Thomas Avenue, Bayview, San Francisco"
79,"1500 California Street, Polk Gulch, San Francisco"
80,"0 Farren Street, Western Addition, San Francisco"
81,"0 Berkeley Way, Diamond Heights, San Francisco"
82,"2700 25th Street, Mission District, San Francisco"
83,"300 Mason Street, Healdsburg"
86,"300 Ruth Avenue, Monta Loma, Mountain View"
87,"2200 Wyandotte Street, Mountain View"
88,"300 East 9th Street, Gilroy"
89,"100 Berry Street, Santa Cruz"
90,"300 Heathcliff Drive, Westview, Pacifica"
91,"700 Industrial Road, San Carlos"
92,"Lincoln Highway, West Sacramento"
93,"27200 Meadowbrook Drive, Old Willowbank, Davis"
94,"1100 Cornell Drive, Sycamore South, Davis"
96,"2200 Bonar Street, Poets Corner, Berkeley"
97,"600 Hilldale Avenue, Berkeley Hills, Berkeley"
98,"500 10th Street, Downtown Oakland, Oakland"
99,"2400 19th Avenue, Highland Terrace, Oakland"
100,"3100 Overlook Way, Richmond"
101,"1300 17th Street, San Pablo"
102,"500 Mount Street, East Richmond, Richmond"
103,"35500 Ebro Court, Centerville, Fremont"
104,"4300 Baine Avenue, Centerville, Fremont"
105,"39000 State Street, Central District, Fremont"
107,"1900 Sandcreek Way, Alameda"
108,"400 West Sunset Boulevard, Hayward"
109,"200 Ramona Avenue, El Cerrito"
111,"1000 Salmon Drive, Cirby Side, Roseville"
113,"1200 Hayes Street, Western Addition, San Francisco"
115,"3600 Farnham Court, Tracy"
116,"1000 Fulton Street, Roosevelt, Redwood City"
117,"100 Edgemar Street, Crocker, Daly City"
118,"1500 Sunnyslope Avenue, Belmont"
119,"1100 Rosewood Avenue, San Carlos"
122,"Unnamed Road, Isleton"
123,"20000 Merritt Drive, Cupertino"
125,"4300 Silva Court, Palo Alto"
126,"2300 Oak Harbour Drive, North Sacramento, Sacramento"
127,"2000 Waverley Street, Old Palo Alto, Palo Alto"
128,"1900 Stowe Avenue, Alum Rock, San Jose"
131,"1100 South 8th Street, Central San Jose, San Jose"
132,"1000 Glenfinnan Drive, South San Jose, San Jose"
133,"2100 South 10th Street, South San Jose, San Jose"
134,"1100 Littleoak Circle, West San Jose, San Jose"
135,"100 Texas Street, Travis Air Force Base, Fairfield"
136,"5800 Leisure Town Road, Vacaville"
137,"700 Dellwood Court, Vacaville"
138,"0 Maria Drive, Petaluma"
141,"3500 Brooks Avenue, Santa Rosa"
142,"400 Steele Lane, West Junior College, Santa Rosa"
143,"1300 14th Street, Junior College Neighborhood Association, Santa Rosa"
146,"1500 Menlo Avenue, Napa"
147,"1000 Cunningham Street, Ukiah"
150,"36700 Z Line Road, Clarksburg"
151,"500 20th Street, Downtown Oakland, Oakland"
152,"10400 Lansdale Avenue, Cupertino"
153,"400 Giannini Drive, Santa Clara"
154,"800 Rattan Terrace, Ponderosa Park, Sunnyvale"
155,"400 North Mary Avenue, Sunnyvale West, Sunnyvale"
156,"Chynoweth Avenue, South San Jose, San Jose"
157,"100 Cheltenham Way, South San Jose, San Jose"
158,"1700 Klamath Drive, Salinas"
159,"600 San Jon Road, Salinas"
160,"Canyon Del Rey Boulevard, Del Rey Oaks"
165,"2200 Franklin Street, Pacific Heights, San Francisco"
167,"300 Stoakes Avenue, Farrelly Pond District, San Leandro"
168,"14700 Doolittle Drive, Marina Faire, San Leandro"
169,"900 Rose Street, North Hayward, Hayward"
170,"800 Downswood Court, South San Jose, San Jose"
171,"3300 Betty Lane, Lafayette"
172,"100 Zanzibar Drive, Aptos"
173,"3100 Garden Avenue, South San Jose, San Jose"
174,"2600 Sibelius Avenue, Evergreen, San Jose"
175,"500 North 7th Street, Central San Jose, San Jose"
176,"500 Hull Avenue, Central San Jose, San Jose"
177,"3500 Willow Road, Bethel Island"
178,"600 Sonoma Avenue, Livermore"
179,"4700 Orange Grove Avenue, Sacramento"
181,"3400 Richmond Boulevard, Oakland Ave - Harrison St, Oakland"
182,"1500 3rd Street, Napa"
184,"0 South Almaden Boulevard, Central San Jose, San Jose"
186,"1800 Vicente Street, Sunset District, San Francisco"
187,"300 Springpark Circle, South San Jose, San Jose"
188,"1500 4th Street, Central Sacramento, Sacramento"
191,"2600 Kelley Avenue, San Pablo"
193,"700 Altino Boulevard, South San Jose, San Jose"
194,"600 Aileen Street, Upper Telegraph, Oakland"
195,"47400 Fernald Street, Warm Springs, Fremont"
196,"4800 Ganner Court, Pleasanton"
198,"200 Hillcrest Avenue, Livermore"
199,"900 Jessica Drive, Livermore"
204,"200 Chaparral Street, Salinas"
206,"1300 15th Street, Mission District, San Francisco"
207,"1100 Guerrero Street, Mission District, San Francisco"
208,"600 Alabama Street, Mission District, San Francisco"
209,"300 Wilde Avenue, Visitacion Valley, San Francisco"
210,"100 Ramsell Street, Oceanview, San Francisco"
211,"200 16th Avenue, Richmond District, San Francisco"
212,"500 Washington Street, Financial District, San Francisco"
215,"400 Martinelli Street, Watsonville"
216,"3700 Lake Ontario Drive, Lakes and Birds, Fremont"
217,"38100 Hastings Court, Centerville, Fremont"
218,"41700 Covington Drive, Mission Valley, Fremont"
219,"4500 Richmond Avenue, Centerville, Fremont"
220,"43500 Southerland Way, Cameron Hills, Fremont"
221,"Valley Avenue, Pleasanton"
222,"2700 Dublin Boulevard, Dublin"
223,"5500 Stockton Loop, Livermore"
224,"500 Fontonett Avenue, Livermore"
225,"1900 Roosevelt Avenue, Belding Woods, Richmond"
229,"14000 Jasper Street, Lathrop"
230,"300 Glenbriar Circle, Tracy"
231,"300 West Lowell Avenue, Tracy"
232,"1000 Beech Street, East Palo Alto"
233,"County Jail Road, San Bruno"
234,"100 Domestic Terminals Departures Level, San Francisco"
235,"300 East San Salvador Street, Central San Jose, San Jose"
237,"300 Orchard Avenue, Lowlanders, Sunnyvale"
238,"100 Walk Circle, Santa Cruz"
239,"100 Elena Court, Scotts Valley"
240,"0 Mann Avenue, Watsonville"
241,"0 Pinheiro Circle, Novato"
242,"0 El Pavo Real Circle, San Rafael"
243,"0 Charlotte Drive, San Rafael"
246,"0 Conifer Square, Rohnert Park"
247,"0 Santa Barbara Avenue, Salinas"
251,"5900 Southview Drive, Edenvale, San Jose"
252,"1200 Rodriguez Street, Santa Cruz"
253,"1000 Shasta Street, Vallejo"
254,"200 Firethorn Drive, Rohnert Park"
262,"1000 Vallejo Street, Santa Rosa"
264,"300 Irwin Street, San Rafael"
268,"1100 Cedar Street, Santa Cruz"
269,"0 Banbury Way, Benicia"
270,"400 East Tabor Avenue, Fairfield"
272,"1300 Sundown Lane, Alum Rock, San Jose"
273,"400 Calero Avenue, South San Jose, San Jose"
274,"2300 Harper Street, Santa Cruz"
275,"2800 Florida Street, Vallejo"
276,"700 Monte Carlo Drive, Suisun City"
277,"500 El Paseo Drive, Sobrante Park, Oakland"
279,"1300 Portsmouth Street, Oakley"
280,"1600 Sutter Street, Concord"
281,"1000 Detroit Avenue, Concord"
282,"100 Valley Hill Drive, Moraga"
283,"6100 San Pablo Avenue, Paradise Park, Oakland"
284,"300 45th Street, Temescal, Oakland"
285,"1600 Maritime Street, Oakland"
286,"1000 10th Street, West Oakland, Oakland"
287,"2600 Logan Street, Meadow Brook, Oakland"
288,"14700 Wiley Street, Washington Manor - Bonaire, San Leandro"
289,"27000 Manon Avenue, Harder - Tennyson, Hayward"
290,"4200 Gemini Drive, Union City"
291,"0 Rollingwood Drive, San Rafael"
294,"1800 Golden Gate Drive, Napa"
295,"0 Harrison Avenue, Napa"
296,"400 Cartagena Way, American Canyon"
297,"1400 Pembroke Way, Dixon"
299,"Chinatown / North Beach Campus, Russian Hill, San Francisco"
300,"2000 Little Orchard Street, South San Jose, San Jose"
301,"2400 Grahn Drive, SOS, Santa Rosa"
302,"0 Bass Court, Bayview, San Francisco"
303,"Bay Trail, Sunnyvale"
304,"500 Zook Road, Mountain View"
305,"700 South Pilgrim Street, Park, Stockton"
306,"200 Silverlake Drive, Lakewood, Sunnyvale"
308,"600 Hans Avenue, Cuesta Park, Mountain View"
309,"Mimosa Way, South San Jose, San Jose"
311,"200 Northgate Avenue, Westlake, Daly City"
312,"1800 41st Avenue, Capitola"
313,"800 West Street, Hollister"
314,"200 Alta Mesa Drive, Serra Highlands, South San Francisco"
315,"900 Veterans Boulevard, Redwood City"
316,"700 Kearney Street, Benicia"
321,"Nimitz Freeway, Downtown Oakland, Oakland"
322,"300 Warwick Avenue, Adams Point, Oakland"
323,"900 Embarcadero West, West Oakland, Oakland"
324,"100 Castro Lane, Kimber - Gomes, Fremont"
325,"41400 Mahoney Street, Irvington, Fremont"
326,"4500 De Silva Street, South Sundale, Fremont"
328,"5000 Franklin Drive, Pleasanton"
329,"1400 Rhododendron Drive, Springtown, Livermore"
330,"2800 Waverley Way, Livermore"
331,"4500 Contractors Place, Livermore"
332,"0 North Court Street, Martinez"
333,"15900 Via Paro, San Lorenzo"
334,"1300 Dennis Circle, Concord"
335,"California Delta Highway, Antioch"
338,"100 Hinman Road, Redwood City"
339,"2800 Fair Oaks Avenue, Redwood City"
342,"10400 Trinity Parkway, Bear Creek, Stockton"
344,"Unnamed Road, San Juan Bautista"
345,"400 Moffett Boulevard, Mountain View"
346,"2000 California Street, Mountain View"
347,"900 Sycamore Drive, Midtown, Palo Alto"
349,"6700 Moselle Drive, South San Jose, San Jose"
351,"600 South 22nd Street, Central San Jose, San Jose"
352,"1600 Forman Avenue, South San Jose, San Jose"
353,"3000 Harvestwood Court, East San Jose, San Jose"
362,"Cosumnes River Boulevard, Southwestern Sacramento, Sacramento"
365,"1400 Laurel Glen Road, Soquel"
366,"Interstate 505, Vacaville"
367,"6100 Bodega Avenue, Petaluma"
369,"Ascot Parkway, Vallejo"
370,"100 Lakewood Avenue, Vallejo"
371,"1100 Benicia Road, Vallejo"
372,"100 San Marino Avenue, Vallejo"
374,"3800 Longbridge Drive, Modesto"
377,"0 Florence Place, Salinas"
378,"1700 Highland Street, Seaside"
380,"2800 Moorpark Avenue, West San Jose, San Jose"
382,"Hickam Terrace, Irvington, Fremont"
384,"400 L Street, Davis"
385,"0 Valley View Road, Orinda"
386,"0 Sable Pointe, Alameda"
387,"2100 Manchester Road, San Leandro"
388,"1700 Doolittle Drive, Davis Tract, San Leandro"
389,"1000 Burkhart Avenue, Washington Manor - Bonaire, San Leandro"
390,"5600 Park Crest Drive, South San Jose, San Jose"
391,"900 Glenridge Drive, South San Jose, San Jose"
392,"27900 Ormond Avenue, Tennyson - Alquire, Hayward"
393,"30500 Whipple Road, Union City"
394,"3600 Page Street, Friendly Acres, Redwood City"
395,"300 Sequoia Avenue, Redwood City"
396,"500 North 21st Street, Central San Jose, San Jose"
397,"400 Cedar Street, Vallejo"
398,"0 Positive Place, Vallejo"
399,"2800 Miller Court, Fairfield"
400,"2000 Plum Tree Way, Fairfield"
401,"2200 Emerson Place, Fairfield"
403,"800 Pine Lane, San Rafael"
406,"1000 Clearview Drive, Hollister"
408,"1800 Hillside Boulevard, Colma"
409,"200 Nelson Avenue, Edgemar - Pacific Manor, Pacifica"
410,"Baquiano Trail, Pacifica"
414,"Fallman Road, Brentwood"
415,"5400 Imhoff Drive, Martinez"
416,"2700 Contra Costa Canal Trail, Walnut Creek"
417,"4400 Bell Avenue, Eastshore, Richmond"
418,"300 La Crosse Drive, Milpitas"
419,"4000 Moreland Way, West San Jose, San Jose"
420,"100 Dubois Street, Santa Cruz"
421,"800 Georgia Street, Vallejo"
422,"1200 Paru Street, West Alameda, Alameda"
423,"200 Locust Avenue, San Rafael"
431,"Seaborg Road, Berkeley"
432,"19100 McKinley Avenue, Manteca"
433,"600 Vanessa Drive, Central San Mateo, San Mateo"
434,"1300 Franklin Street, Western Addition, San Francisco"
435,"32400 Joyce Way, Union City"
436,"1700 Los Gatos Almaden Road, Cambrian, San Jose"
437,"1000 Queen Anne Drive, West San Jose, San Jose"
438,"1000 Manet Drive, Sunnyvale"
439,"3000 Pecan Drive, Fairfield"
440,"0 Abbey Court, Napa"
442,"21800 California 1, Fort Bragg"
443,"New Corona Heights Trail, The Castro, San Francisco"
445,"900 Divisadero Street, Western Addition, San Francisco"
446,"1000 El Centro Avenue, Glenview, Oakland"
447,"2600 Alvarado Street, Floresta Gardens - Bradrick, San Leandro"
448,"35800 Dering Place, Centerville, Fremont"
451,"2900 Kachina Way, Cordova Rancho Estates, Rancho Cordova"
452,"1200 Green Street, Russian Hill, San Francisco"
454,"300 Meadowhaven Way, Milpitas"
455,"3400 Mauricia Avenue, Santa Clara"
456,"1000 56th Street, Gaskill, Oakland"
457,"3100 West Street, Hoover - Foster, Oakland"
458,"900 Webster Street, Downtown Oakland, Oakland"
459,"1600 16th Avenue, Rancho San Antonio, Oakland"
460,"2000 Rosedale Avenue, Jefferson, Oakland"
461,"1000 85th Avenue, Highland, Oakland"
462,"1000 Shattuck Avenue, Berkeley Hills, Berkeley"
463,"2000 Bancroft Way, Downtown Berkeley, Berkeley"
464,"1600 Fairview Street, South Berkeley, Berkeley"
465,"20100 Marshall Street, Castro Valley"
466,"100 Pelton Center Way, Old San Leandro, San Leandro"
467,"16300 Helo Drive, San Leandro"
468,"700 Via Aires, San Lorenzo"
469,"1800 Southgate Street, Southgate, Hayward"
470,"32100 Lupe Court, Union City"
471,"1000 Amethyst Terrace, Union City"
472,"4300 Alder Avenue, Centerville, Fremont"
473,"40700 Chiltern Drive, Kimber - Gomes, Fremont"
475,"1500 Lacassie Avenue, Walnut Creek"
477,"0 Tara Road, Northwood - Tara, Orinda"
478,"100 Eagle Court, Birds, Hercules"
479,"200 El Portal Drive, San Pablo"
480,"2800 Roosevelt Avenue, North & East, Richmond"
481,"700 Elm Street, El Cerrito"
485,"900 Outrigger Circle, Brentwood"
486,"2100 Saint Michaels Court, Sterling Pinnacle, Brentwood"
487,"2300 Dover Way, Pittsburg"
488,"0 Oak Gate Place, Pleasant Hill"
489,"4000 Little Lane, Concord"
495,"4200 Shelter Creek Lane, San Bruno"
496,"2300 Edgewater Drive, Napa"
499,"600 Throckmorton Avenue, Mill Valley"
503,"700 California Street, Salinas"
505,"1000 2nd Street, Central Sacramento, Sacramento"
513,"200 South Avenue, North Sacramento, Sacramento"
516,"7400 Summer Avenue, Citrus Heights"
517,"6400 Silkwood Way, Twin Creeks, Citrus Heights"
526,"3700 Wood Duck Circle, Lakeview, Stockton"
528,"600 Lexington Way, Oak Grove Manor, Burlingame"
529,"100 36th Avenue, South San Mateo, San Mateo"
530,"400 Seventh Avenue, Fair Oaks, Menlo Park"
531,"800 Live Oak Avenue, Downtown Menlo Park, Menlo Park"
532,"200 Beach Street, North Beach, San Francisco"
533,"1400 Grant Avenue, North Beach, San Francisco"
534,"200 Walnut Street, Presidio Heights, San Francisco"
535,"0 Rossi Avenue, Richmond District, San Francisco"
536,"800 Franklin Street, Fillmore District, San Francisco"
537,"500 Webster Street, Western Addition, San Francisco"
540,"2900 Buthmann Avenue, Tracy"
541,"200 San Fernando Way, St. Francis, Daly City"
542,"2200 Kenry Way, Westborough, South San Francisco"
543,"2500 Carmel Drive, San Bruno"
544,"1100 Magnolia Avenue, Central San Jose, San Jose"
545,"200 North 5th Street, Central San Jose, San Jose"
546,"1300 Glen Eyrie Avenue, Central San Jose, San Jose"
547,"4900 Jarvis Avenue, South San Jose, San Jose"
548,"1300 Santee Drive, South San Jose, San Jose"
549,"2600 Pacer Lane, South San Jose, San Jose"
550,"2100 Naida Avenue, Alum Rock, San Jose"
551,"1900 Margaret Street, Alum Rock, San Jose"
552,"0 Alexander Avenue, East San Jose, San Jose"
553,"3000 Balmoral Drive, North San Jose, San Jose"
554,"200 2nd Street, Sunnyvale"
555,"500 Aldo Avenue, Santa Clara"
556,"1100 White Drive, Santa Clara"
557,"18800 Devon Avenue, Quito Village, Saratoga"
558,"700 Cathedral Drive, Sunnyvale West, Sunnyvale"
559,"300 Pescadero Terrace, Sunnyvale West, Sunnyvale"
560,"1200 Coronado Drive, Sunnyvale West, Sunnyvale"
561,"100 Nancy Court, Old Mountain View, Mountain View"
562,"300 Tioga Court, Greenmeadow, Palo Alto"
563,"1200 Redmond Avenue, South San Jose, San Jose"
564,"5400 Eagles Lane, South San Jose, San Jose"
565,"7100 Vía Romera, South San Jose, San Jose"
566,"800 Calero Avenue, South San Jose, San Jose"
567,"17300 Lotus Way, Morgan Hill"
568,"8400 Diane Court, Gilroy"
569,"700 Eschenburg Drive, Gilroy"
570,"West Lake Drive, Vallejo"
571,"400 Wallace Avenue, Vallejo"
572,"700 East Atlantic Avenue, Fairfield"
573,"1100 Clay Street, Fairfield"
577,"Ridge Ranch Road, Geyserville"
583,"3000 Paseo Entrada Road, Turlock"
586,"800 B Street, Central Davis, Davis"
587,"1300 East Beamer Street, Woodland"
590,"300 Hanover Avenue, Cleveland Heights, Oakland"
591,"2500 10th Avenue, Bella Vista, Oakland"
592,"1600 29th Avenue, Fruitvale, Oakland"
593,"2000 36th Avenue, Harrington, Oakland"
594,"5200 Fleming Avenue, Maxwell Park, Oakland"
595,"200 Ghormley Avenue, Brookfield Village, Oakland"
596,"1000 Sterling Avenue, Berkeley Hills, Berkeley"
597,"1600 Eighth Street, Northwest Berkeley, Berkeley"
598,"3000 Colby Street, Elmwood, Berkeley"
599,"1800 Yale Drive, Alameda"
600,"800 Walnut Street, Alameda"
601,"3600 Parsons Court, Castro Valley"
602,"22000 Cameron Street, Castro Valley"
603,"20100 Western Boulevard, Hayward"
604,"24600 Dale Street, Jackson Triangle, Hayward"
605,"24500 Surrey Way, Santa Clara, Hayward"
606,"26200 Gamboa Street, Harder - Tennyson, Hayward"
607,"200 Goodrich Street, Whitman - Wocine, Hayward"
608,"700 11th Street, Oakland"
609,"700 19th Street, West Oakland, Oakland"
610,"1600 Webster Street, Downtown, Oakland"
611,"200 Park View Terrace, Adams Point, Oakland"
612,"500 El Dorado Avenue, Grand Lake, Oakland"
613,"3900 Fruitvale Avenue, Dimond, Oakland"
614,"3100 San Joaquin Way, Union City"
615,"2300 Mann Avenue, Union City"
616,"0 Placer Court, Bay Point"
617,"100 Elder Drive, Pacheco"
618,"2200 Floyd Lane, Concord"
619,"1700 Thornwood Drive, Concord"
620,"1300 Rae Anne Drive, Monument Corridor, Concord"
621,"1300 South Main Street, Walnut Creek"
622,"2900 Biddleford Drive, San Ramon"
623,"19200 San Ramon Valley Boulevard, San Ramon"
624,"3300 Beechwood Drive, Stanley, Lafayette"
625,"800 Sunnyview Drive, Pinole"
627,"800 Marin Road, El Sobrante"
628,"2300 Santa Clara Street, Richmond Annex, Richmond"
629,"100 Guerrero Street, Mission Dolores, San Francisco"
636,"4700 Shetland Court, Antioch"
637,"2400 Wilbur Avenue, Antioch"
638,"0 12th East Street, Pittsburg"
641,"1400 Jackson Street, Nob Hill, San Francisco"
642,"600 Grant Avenue, Chinatown, San Francisco"
643,"200 Myrtle Street, Tenderloin, San Francisco"
644,"200 Jones Street, Tenderloin, San Francisco"
645,"1400 Chestnut Street, Marina District, San Francisco"
646,"500 Clayton Street, Haight-Ashbury, San Francisco"
647,"800 Ashbury Street, Ashbury Heights, San Francisco"
648,"3800 19th Street, Dolores Heights, San Francisco"
649,"1000 Diamond Street, Noe Valley, San Francisco"
650,"700 Rhode Island Street, Potrero Hill, San Francisco"
651,"2900 22nd Street, Mission District, San Francisco"
652,"300 Hale Street, Excelsior, San Francisco"
653,"600 Lisbon Street, Excelsior, San Francisco"
659,"200 Staples Avenue, Outer Mission, San Francisco"
660,"1900 Lawton Street, Sunset District, San Francisco"
661,"Building F, Buckingham Way, Lakeshore, San Francisco"
662,"1300 46th Avenue, Sunset District, San Francisco"
663,"200 21st Avenue, Central Richmond, San Francisco"
664,"700 32nd Avenue, Richmond District, San Francisco"
665,"0 Brookdale Avenue, Visitacion Valley, San Francisco"
666,"1200 El Camino Del Mar, Sea Cliff, San Francisco"
669,"600 Rendon Avenue, Park, Stockton"
675,"200 Oriente Street, Bayshore Heights, Daly City"
676,"300 Citrus Avenue, Daly City"
